LED01,LED02,LED03,LED04,LED05,LED06,LED07,LED08,LED09,LED10,LED11,LED12,Resolution,nLoop
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
81,81,81,81,81,81,81,81,81,81,81,81,20000.0,1000.0
33,33,33,33,33,33,33,33,33,33,33,33,20000.0,1000.0
1,1,1,1,1,1,1,1,1,1,1,1,20000.0,1000.0
16,16,16,16,16,16,16,16,16,16,16,16,20000.0,1000.0
64,64,64,64,64,64,64,64,64,64,64,64,20000.0,1000.0
98,98,98,98,98,98,98,98,98,98,98,98,20000.0,1000.0
85,85,85,85,85,85,85,85,85,85,85,85,20000.0,1000.0
38,38,38,38,38,38,38,38,38,38,38,38,20000.0,1000.0
2,2,2,2,2,2,2,2,2,2,2,2,20000.0,1000.0
13,13,13,13,13,13,13,13,13,13,13,13,20000.0,1000.0
60,60,60,60,60,60,60,60,60,60,60,60,20000.0,1000.0
97,97,97,97,97,97,97,97,97,97,97,97,20000.0,1000.0
88,88,88,88,88,88,88,88,88,88,88,88,20000.0,1000.0
41,41,41,41,41,41,41,41,41,41,41,41,20000.0,1000.0
3,3,3,3,3,3,3,3,3,3,3,3,20000.0,1000.0
12,12,12,12,12,12,12,12,12,12,12,12,20000.0,1000.0
59,59,59,59,59,59,59,59,59,59,59,59,20000.0,1000.0
97,97,97,97,97,97,97,97,97,97,97,97,20000.0,1000.0
88,88,88,88,88,88,88,88,88,88,88,88,20000.0,1000.0
41,41,41,41,41,41,41,41,41,41,41,41,20000.0,1000.0
3,3,3,3,3,3,3,3,3,3,3,3,20000.0,1000.0
12,12,12,12,12,12,12,12,12,12,12,12,20000.0,1000.0
59,59,59,59,59,59,59,59,59,59,59,59,20000.0,1000.0
97,97,97,97,97,97,97,97,97,97,97,97,20000.0,1000.0
87,87,87,87,87,87,87,87,87,87,87,87,20000.0,1000.0
40,40,40,40,40,40,40,40,40,40,40,40,20000.0,1000.0
2,2,2,2,2,2,2,2,2,2,2,2,20000.0,1000.0
14,14,14,14,14,14,14,14,14,14,14,14,20000.0,1000.0
62,62,62,62,62,62,62,62,62,62,62,62,20000.0,1000.0
98,98,98,98,98,98,98,98,98,98,98,98,20000.0,1000.0
85,85,85,85,85,85,85,85,85,85,85,85,20000.0,1000.0
36,36,36,36,36,36,36,36,36,36,36,36,20000.0,1000.0
1,1,1,1,1,1,1,1,1,1,1,1,20000.0,1000.0
17,17,17,17,17,17,17,17,17,17,17,17,20000.0,1000.0
67,67,67,67,67,67,67,67,67,67,67,67,20000.0,1000.0
99,99,99,99,99,99,99,99,99,99,99,99,20000.0,1000.0
81,81,81,81,81,81,81,81,81,81,81,81,20000.0,1000.0
30,30,30,30,30,30,30,30,30,30,30,30,20000.0,1000.0
0,0,0,0,0,0,0,0,0,0,0,0,20000.0,1000.0
22,22,22,22,22,22,22,22,22,22,22,22,20000.0,1000.0
73,73,73,73,73,73,73,73,73,73,73,73,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
74,74,74,74,74,74,74,74,74,74,74,74,20000.0,1000.0
23,23,23,23,23,23,23,23,23,23,23,23,20000.0,1000.0
0,0,0,0,0,0,0,0,0,0,0,0,20000.0,1000.0
30,30,30,30,30,30,30,30,30,30,30,30,20000.0,1000.0
81,81,81,81,81,81,81,81,81,81,81,81,20000.0,1000.0
99,99,99,99,99,99,99,99,99,99,99,99,20000.0,1000.0
64,64,64,64,64,64,64,64,64,64,64,64,20000.0,1000.0
14,14,14,14,14,14,14,14,14,14,14,14,20000.0,1000.0
2,2,2,2,2,2,2,2,2,2,2,2,20000.0,1000.0
41,41,41,41,41,41,41,41,41,41,41,41,20000.0,1000.0
90,90,90,90,90,90,90,90,90,90,90,90,20000.0,1000.0
95,95,95,95,95,95,95,95,95,95,95,95,20000.0,1000.0
52,52,52,52,52,52,52,52,52,52,52,52,20000.0,1000.0
7,7,7,7,7,7,7,7,7,7,7,7,20000.0,1000.0
8,8,8,8,8,8,8,8,8,8,8,8,20000.0,1000.0
55,55,55,55,55,55,55,55,55,55,55,55,20000.0,1000.0
97,97,97,97,97,97,97,97,97,97,97,97,20000.0,1000.0
87,87,87,87,87,87,87,87,87,87,87,87,20000.0,1000.0
37,37,37,37,37,37,37,37,37,37,37,37,20000.0,1000.0
1,1,1,1,1,1,1,1,1,1,1,1,20000.0,1000.0
18,18,18,18,18,18,18,18,18,18,18,18,20000.0,1000.0
70,70,70,70,70,70,70,70,70,70,70,70,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
74,74,74,74,74,74,74,74,74,74,74,74,20000.0,1000.0
22,22,22,22,22,22,22,22,22,22,22,22,20000.0,1000.0
0,0,0,0,0,0,0,0,0,0,0,0,20000.0,1000.0
34,34,34,34,34,34,34,34,34,34,34,34,20000.0,1000.0
85,85,85,85,85,85,85,85,85,85,85,85,20000.0,1000.0
97,97,97,97,97,97,97,97,97,97,97,97,20000.0,1000.0
56,56,56,56,56,56,56,56,56,56,56,56,20000.0,1000.0
8,8,8,8,8,8,8,8,8,8,8,8,20000.0,1000.0
7,7,7,7,7,7,7,7,7,7,7,7,20000.0,1000.0
54,54,54,54,54,54,54,54,54,54,54,54,20000.0,1000.0
97,97,97,97,97,97,97,97,97,97,97,97,20000.0,1000.0
87,87,87,87,87,87,87,87,87,87,87,87,20000.0,1000.0
35,35,35,35,35,35,35,35,35,35,35,35,20000.0,1000.0
1,1,1,1,1,1,1,1,1,1,1,1,20000.0,1000.0
22,22,22,22,22,22,22,22,22,22,22,22,20000.0,1000.0
75,75,75,75,75,75,75,75,75,75,75,75,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
68,68,68,68,68,68,68,68,68,68,68,68,20000.0,1000.0
15,15,15,15,15,15,15,15,15,15,15,15,20000.0,1000.0
3,3,3,3,3,3,3,3,3,3,3,3,20000.0,1000.0
44,44,44,44,44,44,44,44,44,44,44,44,20000.0,1000.0
93,93,93,93,93,93,93,93,93,93,93,93,20000.0,1000.0
92,92,92,92,92,92,92,92,92,92,92,92,20000.0,1000.0
43,43,43,43,43,43,43,43,43,43,43,43,20000.0,1000.0
2,2,2,2,2,2,2,2,2,2,2,2,20000.0,1000.0
17,17,17,17,17,17,17,17,17,17,17,17,20000.0,1000.0
70,70,70,70,70,70,70,70,70,70,70,70,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
71,71,71,71,71,71,71,71,71,71,71,71,20000.0,1000.0
18,18,18,18,18,18,18,18,18,18,18,18,20000.0,1000.0
2,2,2,2,2,2,2,2,2,2,2,2,20000.0,1000.0
42,42,42,42,42,42,42,42,42,42,42,42,20000.0,1000.0
92,92,92,92,92,92,92,92,92,92,92,92,20000.0,1000.0
92,92,92,92,92,92,92,92,92,92,92,92,20000.0,1000.0
43,43,43,43,43,43,43,43,43,43,43,43,20000.0,1000.0
2,2,2,2,2,2,2,2,2,2,2,2,20000.0,1000.0
18,18,18,18,18,18,18,18,18,18,18,18,20000.0,1000.0
72,72,72,72,72,72,72,72,72,72,72,72,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
68,68,68,68,68,68,68,68,68,68,68,68,20000.0,1000.0
15,15,15,15,15,15,15,15,15,15,15,15,20000.0,1000.0
3,3,3,3,3,3,3,3,3,3,3,3,20000.0,1000.0
48,48,48,48,48,48,48,48,48,48,48,48,20000.0,1000.0
95,95,95,95,95,95,95,95,95,95,95,95,20000.0,1000.0
88,88,88,88,88,88,88,88,88,88,88,88,20000.0,1000.0
35,35,35,35,35,35,35,35,35,35,35,35,20000.0,1000.0
0,0,0,0,0,0,0,0,0,0,0,0,20000.0,1000.0
26,26,26,26,26,26,26,26,26,26,26,26,20000.0,1000.0
81,81,81,81,81,81,81,81,81,81,81,81,20000.0,1000.0
98,98,98,98,98,98,98,98,98,98,98,98,20000.0,1000.0
57,57,57,57,57,57,57,57,57,57,57,57,20000.0,1000.0
7,7,7,7,7,7,7,7,7,7,7,7,20000.0,1000.0
9,9,9,9,9,9,9,9,9,9,9,9,20000.0,1000.0
61,61,61,61,61,61,61,61,61,61,61,61,20000.0,1000.0
99,99,99,99,99,99,99,99,99,99,99,99,20000.0,1000.0
77,77,77,77,77,77,77,77,77,77,77,77,20000.0,1000.0
21,21,21,21,21,21,21,21,21,21,21,21,20000.0,1000.0
1,1,1,1,1,1,1,1,1,1,1,1,20000.0,1000.0
41,41,41,41,41,41,41,41,41,41,41,41,20000.0,1000.0
92,92,92,92,92,92,92,92,92,92,92,92,20000.0,1000.0
91,91,91,91,91,91,91,91,91,91,91,91,20000.0,1000.0
38,38,38,38,38,38,38,38,38,38,38,38,20000.0,1000.0
1,1,1,1,1,1,1,1,1,1,1,1,20000.0,1000.0
24,24,24,24,24,24,24,24,24,24,24,24,20000.0,1000.0
80,80,80,80,80,80,80,80,80,80,80,80,20000.0,1000.0
98,98,98,98,98,98,98,98,98,98,98,98,20000.0,1000.0
56,56,56,56,56,56,56,56,56,56,56,56,20000.0,1000.0
6,6,6,6,6,6,6,6,6,6,6,6,20000.0,1000.0
12,12,12,12,12,12,12,12,12,12,12,12,20000.0,1000.0
66,66,66,66,66,66,66,66,66,66,66,66,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
71,71,71,71,71,71,71,71,71,71,71,71,20000.0,1000.0
15,15,15,15,15,15,15,15,15,15,15,15,20000.0,1000.0
4,4,4,4,4,4,4,4,4,4,4,4,20000.0,1000.0
51,51,51,51,51,51,51,51,51,51,51,51,20000.0,1000.0
97,97,97,97,97,97,97,97,97,97,97,97,20000.0,1000.0
83,83,83,83,83,83,83,83,83,83,83,83,20000.0,1000.0
27,27,27,27,27,27,27,27,27,27,27,27,20000.0,1000.0
0,0,0,0,0,0,0,0,0,0,0,0,20000.0,1000.0
38,38,38,38,38,38,38,38,38,38,38,38,20000.0,1000.0
91,91,91,91,91,91,91,91,91,91,91,91,20000.0,1000.0
91,91,91,91,91,91,91,91,91,91,91,91,20000.0,1000.0
38,38,38,38,38,38,38,38,38,38,38,38,20000.0,1000.0
0,0,0,0,0,0,0,0,0,0,0,0,20000.0,1000.0
27,27,27,27,27,27,27,27,27,27,27,27,20000.0,1000.0
83,83,83,83,83,83,83,83,83,83,83,83,20000.0,1000.0
97,97,97,97,97,97,97,97,97,97,97,97,20000.0,1000.0
49,49,49,49,49,49,49,49,49,49,49,49,20000.0,1000.0
3,3,3,3,3,3,3,3,3,3,3,3,20000.0,1000.0
18,18,18,18,18,18,18,18,18,18,18,18,20000.0,1000.0
75,75,75,75,75,75,75,75,75,75,75,75,20000.0,1000.0
99,99,99,99,99,99,99,99,99,99,99,99,20000.0,1000.0
58,58,58,58,58,58,58,58,58,58,58,58,20000.0,1000.0
7,7,7,7,7,7,7,7,7,7,7,7,20000.0,1000.0
12,12,12,12,12,12,12,12,12,12,12,12,20000.0,1000.0
68,68,68,68,68,68,68,68,68,68,68,68,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
66,66,66,66,66,66,66,66,66,66,66,66,20000.0,1000.0
11,11,11,11,11,11,11,11,11,11,11,11,20000.0,1000.0
8,8,8,8,8,8,8,8,8,8,8,8,20000.0,1000.0
61,61,61,61,61,61,61,61,61,61,61,61,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
72,72,72,72,72,72,72,72,72,72,72,72,20000.0,1000.0
15,15,15,15,15,15,15,15,15,15,15,15,20000.0,1000.0
5,5,5,5,5,5,5,5,5,5,5,5,20000.0,1000.0
56,56,56,56,56,56,56,56,56,56,56,56,20000.0,1000.0
99,99,99,99,99,99,99,99,99,99,99,99,20000.0,1000.0
76,76,76,76,76,76,76,76,76,76,76,76,20000.0,1000.0
18,18,18,18,18,18,18,18,18,18,18,18,20000.0,1000.0
4,4,4,4,4,4,4,4,4,4,4,4,20000.0,1000.0
53,53,53,53,53,53,53,53,53,53,53,53,20000.0,1000.0
98,98,98,98,98,98,98,98,98,98,98,98,20000.0,1000.0
78,78,78,78,78,78,78,78,78,78,78,78,20000.0,1000.0
20,20,20,20,20,20,20,20,20,20,20,20,20000.0,1000.0
3,3,3,3,3,3,3,3,3,3,3,3,20000.0,1000.0
50,50,50,50,50,50,50,50,50,50,50,50,20000.0,1000.0
98,98,98,98,98,98,98,98,98,98,98,98,20000.0,1000.0
79,79,79,79,79,79,79,79,79,79,79,79,20000.0,1000.0
21,21,21,21,21,21,21,21,21,21,21,21,20000.0,1000.0
2,2,2,2,2,2,2,2,2,2,2,2,20000.0,1000.0
50,50,50,50,50,50,50,50,50,50,50,50,20000.0,1000.0
